document,page,date,title,studio,type,text
USMC-ELOreport-May2011.pdf,1,,Batman,,MOVIE PROJECTS,“” — Warner Bros: OshKosh Defense has expressed interest in supporting the
USMC-ELOreport-May2011.pdf,1,,Batman,,MOVIE PROJECTS,movie with vehicles
USMC-ELOreport-May2011.pdf,1,,Batman,,MOVIE PROJECTS,"Conference call held mid-April with Christopher Nolan, director"
USMC-ELOreport-May2011.pdf,1,,Batman,,MOVIE PROJECTS,and support is doubtful as they are unwilling to reveal the script
USMC-ELOreport-May2011.pdf,1,,Batman,,MOVIE PROJECTS,LA PA has lead
USMC-ELOreport-May2011.pdf,1,,Batman,,MOVIE PROJECTS,because Marine Corps is the PM for M-ATV and LSVR vehicles.
USMC-ELOreport-May2011.pdf,1,,MADE,,TELEVISION PROJECTS,“” — MTV Films: Producers with MTV requested to film a homecoming for a
USMC-ELOreport-May2011.pdf,1,,MADE,,TELEVISION PROJECTS,soon-to-be returning Marine from Afghanistan
USMC-ELOreport-May2011.pdf,1,,MADE,,TELEVISION PROJECTS,The Marine is a brother of the
USMC-ELOreport-May2011.pdf,1,,MADE,,TELEVISION PROJECTS,episode’s main subject
USMC-ELOreport-May2011.pdf,1,,MADE,,TELEVISION PROJECTS,LAPA is currently in discussion with the producers on
USMC-ELOreport-May2011.pdf,1,,MADE,,TELEVISION PROJECTS,the details of their request and awaiting response on what unit the Marine is
USMC-ELOreport-May2011.pdf,1,,MADE,,TELEVISION PROJECTS,assigned.
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,“” — HBO: Executive Producer and LA PA met to discuss support for a
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,series which focuses on the office of the Vice President of the United States.
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,Julia Louise-Dreyfus will play the Vice President
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,Production would like to take
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,cast to Camp Pendleton for a tour to learn about Marines
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,Production is also
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,interested in access to HMX-1
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,LA PA will discuss support with OASD-PA and
USMC-ELOreport-May2011.pdf,1,,VEEP,,TELEVISION PROJECTS,other commands prior to making decision.
USMC-ELOreport-May2011.pdf,1,,Extreme Chef,,TELEVISION PROJECTS,“” — Food Network: Producers with Smart Dog Media have requested to
USMC-ELOreport-May2011.pdf,1,,Extreme Chef,,TELEVISION PROJECTS,have a Marine recently returned from deployment judge a cook-off at his off-base home
USMC-ELOreport-May2011.pdf,1,,Extreme Chef,,TELEVISION PROJECTS,along with his family
USMC-ELOreport-May2011.pdf,1,,Extreme Chef,,TELEVISION PROJECTS,| MEF sent the request on 4 May to subordinate commands to find
USMC-ELOreport-May2011.pdf,1,,Extreme Chef,,TELEVISION PROJECTS,a possible candidate
USMC-ELOreport-May2011.pdf,1,,Extreme Chef,,TELEVISION PROJECTS,LAPA sent an additional request to film a possible family on
USMC-ELOreport-May2011.pdf,1,,Extreme Chef,,TELEVISION PROJECTS,13 May
USMC-ELOreport-May2011.pdf,1,,Extreme Chef,,TELEVISION PROJECTS,Awaiting response from IMEF or RC(SW).
USMC-ELOreport-May2011.pdf,1,,Swamp Loggers,Discovery Channel,TELEVISION PROJECTS,“” -: MCAS New River reached out to production
USMC-ELOreport-May2011.pdf,1,,Swamp Loggers,Discovery Channel,TELEVISION PROJECTS,company in Jacksonville and coordinated filming at the MCAS New River Air Show.
USMC-ELOreport-May2011.pdf,1,,Swamp Loggers,Discovery Channel,TELEVISION PROJECTS,This episode will focus on the host's love of the military and demonstrate capabilities of
USMC-ELOreport-May2011.pdf,1,,Swamp Loggers,Discovery Channel,TELEVISION PROJECTS,Marine Corps rotary wing aircraft
USMC-ELOreport-May2011.pdf,1,,Swamp Loggers,Discovery Channel,TELEVISION PROJECTS,LA PA has a singed production assistance
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,“” — Bravo: Magical Elves Inc
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,treated a corporal from 3 MAW to an
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,elaborate “reunion dinner” for service members (one from each branch) who recently
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,returned from deployment
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,The service members were joined by their families and
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,several other military members from all branches
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,Episode was shot Feb
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,18 at the VFW
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,Hall in Los Angeles
USMC-ELOreport-May2011.pdf,2,,Top Chef: Masters,,TELEVISION PROJECTS,Awaiting rough cut and air date.
USMC-ELOreport-May2011.pdf,2,,Sniper: Bulletproof,,TELEVISION PROJECTS,"“” — History Channel: Karga Seven Pictures, following the success of"
USMC-ELOreport-May2011.pdf,2,,Sniper: Bulletproof,,TELEVISION PROJECTS,"their two previous History Channel specials on snipers, has been commissioned for"
USMC-ELOreport-May2011.pdf,2,,Sniper: Bulletproof,,TELEVISION PROJECTS,another two-hour special
USMC-ELOreport-May2011.pdf,2,,Sniper: Bulletproof,,TELEVISION PROJECTS,Producers requested to shoot with Sniper School on CPEN.
USMC-ELOreport-May2011.pdf,2,,Sniper: Bulletproof,,TELEVISION PROJECTS,TECOM has approved
USMC-ELOreport-May2011.pdf,2,,Sniper: Bulletproof,,TELEVISION PROJECTS,SOI leadership will hold a planning meeting with producers
USMC-ELOreport-May2011.pdf,2,,Sniper: Bulletproof,,TELEVISION PROJECTS,the week of May 16-20.
USMC-ELOreport-May2011.pdf,2,,NCIS,CBS,TELEVISION PROJECTS,“” —-: Supported Season Finale with Marines of 2/23 conducting funeral
USMC-ELOreport-May2011.pdf,2,,NCIS,CBS,TELEVISION PROJECTS,detail on 20 Apr
USMC-ELOreport-May2011.pdf,2,,NCIS,CBS,TELEVISION PROJECTS,"Episode will air May 17""."
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,“” — Lifetime: Producers wrapped principle
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,production April 14 after completing eight stories on Marines -- two A stories and six B
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,stories
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,The A story in the season finale features a Marine from 1st MLG
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,Reviewed
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,"rough cut for episodes 110 and 111, which each feature one Marine B story"
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,No issues
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,in either episode
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,Episodes air May 15 and 22 respectively
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,Lifetime has also requested
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,to extend production of the series for eight more episodes
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,LA PA has requested
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,detailed ratings statistics and is carefully weighing the value of supporting future
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,episodes
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,Reviewed rough cut episode 112 May 19
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,Episode features a Marine B
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,story
USMC-ELOreport-May2011.pdf,2,,Coming Home (formerly Homecoming),,TELEVISION PROJECTS,LAPA informed producers to correct the rank of the Marine.
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,“” — No Distribution: A producer with Aventra Studios requested to film a
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,Marine combat veteran drive a NASCAR car at the Richard Petty Driving Experience
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,"Raceway in Atlanta, Georgia"
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,"Although there is no distribution, LA PA signed a DSA"
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,with the production company for one day of filming a Marine recruiter as he talks about
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,his love for NASCAR and the Marine Corps
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,MPA Atlanta provided media escort
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,October 22nd
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,Producer and Atlanta MPA reported the shoot was successful
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,LAPA
USMC-ELOreport-May2011.pdf,2,,Bucket List,,TELEVISION PROJECTS,reached out to the producers 13 May to review rough cut.
USMC-ELOreport-May2011.pdf,2,,Curiousity: The Questions of Life,Discovery Channel,TELEVISION PROJECTS,“” -: Discovery Studios is
USMC-ELOreport-May2011.pdf,2,,Curiousity: The Questions of Life,Discovery Channel,TELEVISION PROJECTS,"producing this series, which explores the origins of violence with a scientific approach."
USMC-ELOreport-May2011.pdf,2,,Curiousity: The Questions of Life,Discovery Channel,TELEVISION PROJECTS,Producers filmed for three days with a drill instructor from MCRD SD to highlight the
USMC-ELOreport-May2011.pdf,2,,Curiousity: The Questions of Life,Discovery Channel,TELEVISION PROJECTS,psychological training that prepares a Marine for combat
USMC-ELOreport-May2011.pdf,2,,Curiousity: The Questions of Life,Discovery Channel,TELEVISION PROJECTS,Support complete
USMC-ELOreport-May2011.pdf,2,,Curiousity: The Questions of Life,Discovery Channel,TELEVISION PROJECTS,Phone
USMC-ELOreport-May2011.pdf,2,,Curiousity: The Questions of Life,Discovery Channel,TELEVISION PROJECTS,conversation on 9 May has production near the end of completion of rough cut.
USMC-ELOreport-May2011.pdf,2,,Secret Pakistan,BBC Worldwide,DOCUMENTARIES,“” -: This series aims to tell the definitive history of the
USMC-ELOreport-May2011.pdf,2,,Secret Pakistan,BBC Worldwide,DOCUMENTARIES,"Afghan-Pakistan theatre since 9/11, providing an authoritative account starting with the"
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,“” — BBC: BBC Factual London Productions has requested to interview Marines
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,for an episode of their series titled “The Science of Morality.” The series explores the
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,"science of moral decision-making, covering neuroscience, psychology and genetics in"
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,an attempt to find out why humans have a ‘moral conscience.’ The production wants to
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,"interview Marines as they represent a special section of society: they are asked, ina"
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,"split-second, to make a special kind of moral decision in combat"
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,TECOM PA has set
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,dates of 6-10 June for interviews with MACE personnel
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,DSA sent to production for
USMC-ELOreport-May2011.pdf,3,,Horizon,,DOCUMENTARIES,signature 11 May.
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,“” — History Channel: Asylum Entertainment is creating a two-hour
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,"documentary on the military makes the US a “superpower,” with the intentions of"
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,developing a series for the network
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,Production has requested to film several pieces of
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,"equipment, coupled with SME interviews, during mid-May"
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,USAF LA PA has lead.
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,Currently awaiting answer from MSCs to FOS request sent by LA PA
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,Filming to be
USMC-ELOreport-May2011.pdf,3,,Superpowers,,DOCUMENTARIES,conducted May 23 aboard MCAS Miramar.
USMC-ELOreport-May2011.pdf,3,,Alternative History,,DOCUMENTARIES,“” — History Channel: Flight 33 Productions interviewed (°)(°)
USMC-ELOreport-May2011.pdf,3,,Blood We Shed,,DOCUMENTARIES,“” — Independent: Marines from WWBN East created a basic
USMC-ELOreport-May2011.pdf,3,,Blood We Shed,,DOCUMENTARIES,documentary discussing their injuries sustained in Iraq
USMC-ELOreport-May2011.pdf,3,,Blood We Shed,,DOCUMENTARIES,Command wants to allow
USMC-ELOreport-May2011.pdf,3,,Blood We Shed,,DOCUMENTARIES,Marines to attend the GI FILM Festival in uniform
USMC-ELOreport-May2011.pdf,3,,Blood We Shed,,DOCUMENTARIES,LA PA is recommending against the
USMC-ELOreport-May2011.pdf,3,,Blood We Shed,,DOCUMENTARIES,appearance
USMC-ELOreport-May2011.pdf,3,,Blood We Shed,,DOCUMENTARIES,Currently discussing with WWR PAO.
USMC-ELOreport-May2011.pdf,3,,Mojave Viper,,DOCUMENTARIES,“” — Original Media/JWT: JWT has contracted with Original to produce a
USMC-ELOreport-May2011.pdf,3,,Mojave Viper,,DOCUMENTARIES,television documentary surrounding Mojave Viper
USMC-ELOreport-May2011.pdf,3,,Mojave Viper,,DOCUMENTARIES,Have received support from TECOM
USMC-ELOreport-May2011.pdf,3,,Mojave Viper,,DOCUMENTARIES,and will be coordinating with MCAGCC PAO and command for a four day shoot
USMC-ELOreport-May2011.pdf,3,,Mojave Viper,,DOCUMENTARIES,potentially in June.
USMC-ELOreport-May2011.pdf,3,,Battle of Okinawa,,DOCUMENTARIES,“” — NHK: Producers would like to gather B-Roll of recruit training and
USMC-ELOreport-May2011.pdf,3,,Battle of Okinawa,,DOCUMENTARIES,conduct interviews from Marines about the battle
USMC-ELOreport-May2011.pdf,3,,Battle of Okinawa,,DOCUMENTARIES,Currently consulting with Ill MEF
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,“” — Silver Line Productions LLC: This independent documentary focuses on
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,the legacy of Marine C-130s in the Corps
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,Producers requested to film aboard MCAS
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,Cherry Point with a VMGR squadron there
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,2° MAW PA escorted producers for a day
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,of filming in late April
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,"The producer has requested to film with VMGR-234, the 4"" MAW"
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,"unit that still uses older model C-130s, to conduct interviews with Marines and collect B-"
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,roll of the squadron area and aircraft
USMC-ELOreport-May2011.pdf,4,,Battlehercs,,DOCUMENTARIES,"As of 9 May, awaiting 4"" MAW’s response."
USMC-ELOreport-May2011.pdf,4,,The Call to Serve,,DOCUMENTARIES,“” — 3 Minus 1 Productions: This independent documentary focuses on
USMC-ELOreport-May2011.pdf,4,,The Call to Serve,,DOCUMENTARIES,young Americans who are answering the call to serve their country
USMC-ELOreport-May2011.pdf,4,,The Call to Serve,,DOCUMENTARIES,MCRC approved
USMC-ELOreport-May2011.pdf,4,,The Call to Serve,,DOCUMENTARIES,"the proposal, and LA PA executed a production assistance agreement"
USMC-ELOreport-May2011.pdf,4,,The Call to Serve,,DOCUMENTARIES,1st District is
USMC-ELOreport-May2011.pdf,4,,The Call to Serve,,DOCUMENTARIES,"facilitating support, which consists of highlighting the efforts of recruiters in the NY area."
USMC-ELOreport-May2011.pdf,4,,The Call to Serve,,DOCUMENTARIES,"Filming started 7 May, NY PA had escort"
USMC-ELOreport-May2011.pdf,4,,The Call to Serve,,DOCUMENTARIES,Possible more filming in near future.
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,“” — DoD entered into an agreement
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,with Allentown Productions to support the production of four 5-minute shorts that
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,"highlight different monumental occasions in the lives of service members: Enlistment,"
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,"deployment prep, being deployed and deployment return"
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,Marines from MCAB Miramar
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,"were interviewed as well as a 12th MCD District poolee Thursday, April 28th"
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,Production
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,company is now requesting to film b-roll of the poolee exercising with his recruiter;
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,LAPA is looking into this request
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,Producers did final shoot 10 May with poolee and the
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,recruiter during a PT session at a park near the recruiting office
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,LAPA contacted
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,production company 19 May for follow up on rough cuts
USMC-ELOreport-May2011.pdf,4,,AMC Memorial Day Weekend Documentary Shorts,,DOCUMENTARIES,LAPA contacted producers
